DISTRICT,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,SUP Total,SUP # Retained,SUP % Retained,PRNC Total,PRNC # Retained,PRNC % Retained,TCHR Total,TCHR # Retained,TCHR % Retained,Total FTE Memb,General Fund Appropriations,"Grants, Revolving & Other Funds",Total Expenditures,Expenditure Per Pupil,SATs Taken,SAT Reading,SAT Writing,SAT Math,EngNot1stLang#,EngNot1stLang%,EngLangLrn#,EngLangLrn%,Disab#,Disab%,HighNeeds#,HighNeeds%,EconDisadv#,EconDisadv%,# Graduated,# Completed MassCore,% Completed MassCore,SCI P+A #,SCI P+A %,SCI A#,SCI A %,SCI P#,SCI P %,SCI NI #,SCI NI %,SCI W/F #,SCI W/F %,SCI Stud. Incl. #,SCI CPI,SCI SGP,SCI Incl. in SGP(#),MTH P+A #,MTH P+A %,MTH A #,MTH A %,MTH P #,MTH P %,MTH NI #,MTH NI %,MTH W/F #,MTH W/F %,MTH Stud. Incl. #,MTH CPI,MTH SGP,MTH Incl. in SGP(#),ELA P+A #,ELA P+A %,ELA A #,ELA A %,ELA P #,ELA P %,ELA NI #,ELA NI %,ELA W/F #,ELA W/F %,ELA Stud. Incl. #,ELA CPI,ELA SGP,ELA Incl. in SGP(#)
Abby Kelley Foster Charter Public (District),42.6,4.2,24.5,25,0.1,0.1,3.4,47.4,52.6,1,1,100,3,2,66.7,120,104,86.7,#N/A,#N/A,#N/A,#N/A,#N/A,76,487,486,481,345,24.2,101,7.1,147,10.3,658,46.1,436,30.5,86,86,100,190,59,43,13,147,45,115,35,19,6,324,83.6,N/A,N/A,670,442,55,189,24,253,31,262,33,100,12,804,78.9,49,666,559,70,106,13,453,56,194,24,51,6,804,87.1,55
Abington,2,1.6,4,91.6,0.3,0.1,0.4,51.3,48.7,1,1,100,5,4,80,131,115,87.8,"2,036.70","$24,027,141","$2,422,821","$26,449,962","$12,987",93,489,476,498,91,4.7,34,1.7,263,13.2,591,29.7,337,17.2,98,36,36.7,185,46,32,8,153,38,172,43,42,11,399,77.4,N/A,N/A,865,615,56,227,21,388,36,325,30,152,14,1092,79.1,50,861,752,69,179,16,573,53,269,25,65,6,1086,87.5,53
Academy Of the Pacific Rim Charter Public,59,1,21,15.8,0,0,3.3,45.5,54.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,38,493,465,477,31,6,1,0.2,121,23.3,246,47.4,152,29.3,#N/A,#N/A,#N/A,89,42,24,11,65,31,84,40,39,18,212,71.7,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Acton-Boxborough,1.4,29.4,3.3,61.8,0.2,0,3.7,52,48,1,1,100,2,1,50,194,176,90.7,"2,987.90","$38,553,800","$6,077,277","$44,631,077","$14,937",441,608,610,636,882,15.6,202,3.6,979,17,"1,326",23.1,224,4,513,365,71.2,1142,82,493,35,649,47,201,14,50,4,1393,92.7,N/A,N/A,2442,2638,84,1797,57,841,27,366,12,122,4,3126,93.2,62,2489,2701,87,1106,36,1595,51,338,11,72,2,3111,95,55
Acushnet,0.3,0.3,1.2,97.9,0,0,0.2,51.6,48.4,1,1,100,2,2,100,70,63,90,"1,285.60","$13,827,824","$1,070,792","$14,898,616","$11,589",1,,,,15,1.5,7,0.7,190,19.1,325,32.6,170,17.5,#N/A,#N/A,#N/A,98,51,22,11,76,40,69,36,25,13,192,77.2,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Adams-Cheshire,4,0.7,1.6,92.7,0.5,0.2,0.3,51.3,48.7,1,0,0,3,2,66.7,103,93,90.3,"1,511.80","$17,128,450","$2,510,485","$19,638,935","$12,990",58,471,467,479,12,0.9,5,0.4,298,22,648,47.9,492,36.4,83,29,34.9,108,34,12,4,96,31,154,49,52,17,314,69.5,N/A,N/A,552,318,44,116,16,202,28,257,35,153,21,728,70.6,39.5,578,399,55,80,11,319,44,242,33,82,11,723,79.5,42
Advanced Math and Science Academy Charter (District),2.9,25.1,5.3,62.5,0.6,0.1,3.5,52.1,47.9,1,1,100,1,1,100,87,78,89.7,#N/A,#N/A,#N/A,#N/A,#N/A,129,619,623,670,197,19.7,1,0.1,36,3.6,96,9.6,61,6.1,101,101,100,252,89,106,38,146,52,29,10,1,0,282,96.5,N/A,N/A,529,481,85,336,59,145,26,64,11,20,4,565,93.1,54,535,528,93,243,43,285,50,34,6,3,1,565,97.7,55
Agawam,1.7,2.5,5.7,87.7,0.1,0.1,2.1,51.2,48.8,1,1,100,8,8,100,306,291,95.1,"4,175.50","$51,830,624","$5,152,052","$56,982,676","$13,647",220,493,484,515,269,6.6,164,4,664,16,"1,561",37.6,"1,037",25.3,299,212,70.9,450,50,102,11,348,39,349,39,102,11,901,77.7,N/A,N/A,1730,1372,65,612,29,760,36,534,25,220,10,2126,83.6,47,1722,1463,69,327,15,1136,53,495,23,170,8,2128,87,42
Alma del Mar Charter School,15.4,0.8,45.4,29.6,2.5,0.4,5.8,46.3,53.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,41,17.1,27,11.3,44,18.3,163,67.9,128,53.3,#N/A,#N/A,#N/A,11,28,0,0,11,28,19,48,10,25,40,65,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Amesbury,3.1,1,4.8,87.9,0.1,0.1,3,52.7,47.3,1,1,100,4,4,100,165,153,92.7,"2,511.60","$29,496,781","$3,765,786","$33,262,567","$13,244",88,544,542,545,56,2.5,35,1.5,456,19.7,748,32.3,401,17.6,148,148,100,312,61,83,16,229,45,153,30,45,9,510,84.2,N/A,N/A,963,782,63,381,31,401,32,300,24,166,13,1248,81.5,47,965,918,74,257,21,661,53,242,19,87,7,1247,89.1,47
